-BEGIN HEADER-,,,,,,,,,,,
2021,5,4,5.05,6.47,0.52,408.44,98.38,124.66,12.89,0.39,2.01
2021,5,5,4.99,6.54,0.51,411.23,98,126.87,13.12,0.41,2.12
2021,5,6,4.37,6.63,0.45,407.8,84.2,128.73,11.51,0.38,1.93
2021,5,7,5.15,6.5,0.53,406.9,100.91,125.79,13.33,0.41,2.1
2021,5,8,5.15,6.67,0.53,407.95,100.98,130.2,13.55,0.42,2.2
2021,5,9,2.96,6.55,0.3,418.52,58.32,127.59,8.45,0.27,1.39
2021,5,10,4.54,6.3,0.47,413.39,88.72,122.24,11.68,0.35,1.83
2021,5,11,3.87,6.56,0.4,410.95,76.2,128.49,10.59,0.34,1.7
2021,5,12,4.73,6.12,0.49,413.42,92.25,118.2,12.09,0.38,1.96
2021,5,13,4.91,6.24,0.51,412.66,95.46,120.6,12.42,0.38,1.95
2021,5,14,4.57,6.32,0.48,413.85,89.52,122.85,12.05,0.37,1.91
2021,5,15,3.44,6.4,0.36,417.45,66.77,124.95,9.44,0.29,1.49
2021,5,16,4.05,6.4,0.42,414.57,79.8,124.94,10.97,0.34,1.78
2021,5,17,4.75,6.43,0.5,402.93,92.32,124.54,12.37,0.39,2.02
2021,5,18,3.99,6.47,0.42,408.23,78.12,125.91,10.73,0.32,1.66
2021,5,19,5.01,6.3,0.53,408.77,98.79,123.29,13.05,0.38,1.96
2021,5,20,4.88,6.41,0.52,410.01,96.14,125.86,12.93,0.38,2
2021,5,21,4.58,6.43,0.48,412.75,89.91,126.6,12.16,0.36,1.84
2021,5,22,3.26,6.46,0.34,415.99,63.3,127.38,8.96,0.27,1.41
2021,5,23,5.63,6.48,0.59,410.21,110.72,127.41,14.57,0.43,2.24
2021,5,24,4.61,6.44,0.49,411.2,88.18,125.55,12.06,0.37,1.87
2021,5,25,3.26,6.53,0.34,415.49,63.75,128.43,9.31,0.29,1.49
2021,5,26,3.1,6.41,0.33,419.02,60.16,125.05,8.62,0.27,1.37
2021,5,27,4.76,6.42,0.51,415.98,92.88,125.57,12.46,0.38,1.93
2021,5,28,4.86,6.37,0.52,410.62,93.95,124.44,12.61,0.38,1.9
2021,5,29,5.52,6.35,0.59,410.25,108.8,124.92,14.25,0.42,2.21
2021,5,30,5.02,6.17,0.54,412.73,98.13,120.13,12.87,0.38,1.92
2021,5,31,4.99,6.31,0.53,409.52,97.59,122.91,12.95,0.39,2.04
2021,6,1,3.64,6.19,0.39,416.99,70.54,119.23,9.52,0.28,1.43
2021,6,2,4.48,6.26,0.48,412.36,87.42,121.23,11.79,0.37,1.91
2021,6,3,4.5,6.2,0.48,415.08,88.21,120.8,11.82,0.37,1.94
2021,6,4,5.41,6.3,0.59,405.99,106.03,123,13.91,0.42,2.19
2021,6,5,3.35,6.36,0.36,412.51,65.38,123.8,9.2,0.28,1.44
2021,6,6,4.62,6.33,0.5,413.5,90.13,123.8,12.21,0.37,1.91
2021,6,7,2.88,6.22,0.31,414.5,55.98,120.26,7.84,0.26,1.3
2021,6,8,4.96,6.21,0.54,406.97,95.79,120.09,12.61,0.37,1.86
2021,6,9,3.58,6.01,0.39,413.71,69.35,115.48,9.38,0.28,1.45
2021,6,10,4.6,6.01,0.5,408.7,89.28,116.26,11.72,0.34,1.7
2021,6,11,4.51,6.12,0.49,411.38,88.34,119.3,11.84,0.35,1.84
2021,6,12,4.86,6.35,0.53,408.23,94.11,123.91,12.7,0.38,1.98
2021,6,13,3.28,6.23,0.36,410.66,64.09,120.55,9.14,0.28,1.44
2021,6,14,3.61,5.97,0.39,417.32,70.96,115.33,9.55,0.29,1.47
2021,6,15,3.67,6.02,0.4,411.09,72.29,116.74,9.76,0.29,1.46
2021,6,16,4.88,6.14,0.53,402.2,95.25,119.31,12.51,0.36,1.84
2021,6,17,3.95,6.03,0.43,406.05,76.48,116.23,10.32,0.3,1.58
2021,6,18,5.4,6.26,0.59,395.92,104.7,121.16,13.51,0.38,1.98
2021,6,19,5.3,6.3,0.58,400.93,102.62,121.85,13.36,0.39,2
2021,6,20,4.39,6.23,0.48,409.34,85.36,120.7,11.44,0.34,1.78
2021,6,21,5.19,6.22,0.56,401.22,100.22,119.89,12.9,0.38,1.96
2021,6,22,4.53,6.29,0.49,408.38,88.41,121.73,11.77,0.35,1.83
2021,6,23,3.53,6.19,0.38,410.33,68.21,119.65,9.55,0.28,1.46
2021,6,24,5.28,6.26,0.58,400.12,102.2,120.84,13.31,0.38,1.97
2021,6,25,6.13,6.37,0.66,392.09,118.92,123.21,15.13,0.43,2.23
2021,6,26,5.16,6.3,0.56,400.82,100.78,122.57,13.27,0.39,2.05
2021,6,27,4.92,6.27,0.54,403.77,95.2,121.62,12.65,0.38,1.95
2021,6,28,5.3,6.29,0.58,397.18,103.25,122.16,13.58,0.39,2.02
2021,6,29,4.1,6.17,0.45,402.7,79.31,118.8,10.7,0.32,1.63
2021,6,30,1.7,6.12,0.19,421.46,34.16,118.41,5.12,0.16,0.8
2021,7,1,3.75,6.11,0.41,411.4,71.66,116.79,9.74,0.28,1.44
2021,7,2,4.36,5.48,0.48,405.8,81.82,102.18,10.09,0.29,1.47
2021,7,3,4.34,6.13,0.47,405.65,83.53,117.8,11.04,0.33,1.68
2021,7,4,2.45,6.21,0.27,415.69,48.66,120.21,7.13,0.23,1.15
2021,7,5,3.38,5.89,0.37,407.84,65.05,112.53,8.66,0.27,1.34
2021,7,6,3.88,5.52,0.42,409.97,73.77,103.95,9.34,0.27,1.41
2021,7,7,5.28,6.05,0.57,407.96,101.83,116.52,12.98,0.38,1.93
2021,7,8,4.03,6.19,0.44,417.53,79.34,120.49,10.75,0.32,1.62
2021,7,9,4.78,6.22,0.52,409.27,93.17,120.89,12.31,0.36,1.88
2021,7,10,4.77,6.34,0.52,411.17,92.59,123.59,12.48,0.37,1.85
2021,7,11,3.1,6.3,0.34,411.44,61.12,123.06,8.79,0.26,1.31
2021,7,12,2.29,6.42,0.25,412.35,45.44,125.69,6.63,0.2,0.98
2021,7,13,4.71,6.2,0.51,416.42,91.78,120.23,12.22,0.37,1.89
2021,7,14,4.58,6.3,0.49,411.52,89.19,122.73,11.98,0.35,1.79
2021,7,15,3.83,6.19,0.41,422.2,74.41,119.64,10.14,0.3,1.57
2021,7,16,5.54,6.23,0.59,407.87,107.62,121.19,13.9,0.41,2.08
2021,7,17,5.48,6.19,0.59,408.33,106.83,120.62,13.75,0.41,2.12
2021,7,18,5.66,6.43,0.6,404.3,109.78,124.92,14.28,0.41,2.09
2021,7,19,5.26,6.51,0.56,403.87,102.27,126.54,13.55,0.39,2.02
2021,7,20,2.22,6.35,0.23,422.3,43.82,123.09,6.42,0.19,0.97
2021,7,21,3.94,6.28,0.42,420.05,76.91,121.57,10.3,0.3,1.54
2021,7,22,4.97,6.37,0.53,414.75,96.66,123.83,12.65,0.36,1.83
2021,7,23,4.17,6.3,0.45,418.06,81.45,121.98,10.99,0.34,1.72
2021,7,24,4.7,6.36,0.5,416.84,91.31,123.51,12.27,0.38,1.91
2021,7,25,3.52,6.34,0.38,414.12,68.88,122.43,9.5,0.31,1.59
2021,7,26,4.62,6.39,0.48,414.78,89.76,123.6,12.12,0.38,1.94
2021,7,27,4.79,6.4,0.51,411.6,92.86,124.09,12.37,0.38,1.91
2021,7,28,4.83,6.53,0.51,408.73,93.54,126.62,12.52,0.37,1.89
2021,7,29,4.95,6.53,0.52,411.63,96.41,126.67,12.83,0.38,1.98
2021,7,30,2.57,6.32,0.27,423.18,50.9,121.62,7.34,0.23,1.13
2021,7,31,3.03,6.4,0.32,424.16,59.97,124.35,8.59,0.26,1.29
2021,8,1,2.79,6.34,0.29,421.68,54.7,122.66,7.7,0.23,1.12
2021,8,2,4.86,6.29,0.51,414.99,93.76,120.15,12.19,0.37,1.91
2021,8,3,4.32,6.51,0.45,411.65,84.05,125.72,11.22,0.34,1.79
2021,8,4,4.22,6.43,0.44,413.22,82.2,124,11.09,0.35,1.83
2021,8,5,3.55,6.41,0.37,416.17,69.22,123.57,9.52,0.3,1.52
2021,8,6,4.28,6.38,0.45,413.62,82.86,122.44,10.97,0.34,1.73
2021,8,7,5.27,6.53,0.55,415.13,103.16,126.65,13.53,0.42,2.21
2021,8,8,4.58,6.36,0.48,418.6,89.29,122.69,11.81,0.36,1.86
2021,8,9,5.9,6.59,0.61,406.52,114.99,127.47,14.84,0.45,2.36
2021,8,10,5.36,6.69,0.55,408.9,104.45,129.8,13.75,0.41,2.15
2021,8,11,5.5,6.49,0.56,408.67,106.79,124.92,13.78,0.42,2.24
2021,8,12,3.6,6.37,0.37,417.23,70.52,121.68,9.59,0.3,1.57
2021,8,13,3.86,6.27,0.4,418.82,74.7,119.04,9.93,0.3,1.56
2021,8,14,3.71,6.47,0.38,416.36,72.88,124.11,9.82,0.3,1.51
2021,8,15,5.2,6.47,0.53,407.29,99.71,122.87,12.79,0.38,1.95
2021,8,16,4.37,6.54,0.45,408.21,85.31,125.95,11.4,0.34,1.75
2021,8,17,6.25,6.79,0.63,408.23,122.62,131.98,15.82,0.48,2.52
2021,8,18,3.06,6.69,0.31,415.18,60.11,129.3,8.34,0.24,1.23
2021,8,19,4.17,6.55,0.42,418.34,81.66,126.3,10.92,0.33,1.7
2021,8,20,6.15,6.7,0.62,409.07,120.09,129.48,15.44,0.46,2.42
2021,8,21,6.27,6.83,0.63,400.73,121.26,130.74,15.51,0.46,2.43
2021,8,22,5.36,6.74,0.54,410.14,104.16,129.12,13.68,0.41,2.15
2021,8,23,4.53,6.71,0.45,415.88,87.83,129.35,11.86,0.36,1.85
2021,8,24,6.3,6.86,0.63,401.47,121.94,131.45,15.76,0.47,2.45
2021,8,25,5.87,6.91,0.59,405.62,114.61,133.48,15.09,0.46,2.41
2021,8,26,6.4,7.07,0.64,397.91,123.91,135.63,16.21,0.5,2.64
2021,8,27,3.04,6.9,0.3,413.35,59.64,133.61,8.48,0.27,1.38
2021,8,28,6.14,6.67,0.61,410.72,119.68,128.51,15.3,0.46,2.44
2021,8,29,2.67,6.6,0.27,420.66,52.98,126.38,7.48,0.24,1.24
2021,8,30,4.53,6.72,0.45,416.09,88.31,129.28,11.86,0.38,1.92
2021,8,31,3.55,6.73,0.35,421.4,70.19,129.19,9.75,0.31,1.62
2021,9,1,4.21,6.78,0.41,409.7,82.7,130.83,11.23,0.34,1.76
2021,9,2,6.16,6.9,0.61,405.04,119.79,132.45,15.38,0.46,2.41
2021,9,3,5.77,6.98,0.57,412.87,113.11,135.25,14.98,0.46,2.45
2021,9,4,5.05,6.92,0.5,415.78,99.36,134.73,13.38,0.41,2.09
2021,9,5,5.69,6.91,0.56,417.46,111.85,134.29,14.72,0.45,2.38
2021,9,6,5.92,7,0.59,413.34,116.07,135.7,15.34,0.49,2.62
2021,9,7,2.89,7.09,0.28,412.8,56.9,135.66,8.03,0.23,1.21
2021,9,8,5.24,6.94,0.52,412.45,101.78,133.38,13.59,0.44,2.28
2021,9,9,5.57,7,0.55,411.62,108.92,135.12,14.47,0.45,2.35
2021,9,10,3.8,7.01,0.38,423.55,74.98,135.45,10.53,0.34,1.75
2021,9,11,5.27,6.88,0.52,423.04,102.12,132.13,13.44,0.41,2.09
2021,9,12,5.84,6.97,0.57,406.16,112.04,131.95,14.43,0.43,2.21
2021,9,13,6.25,7.13,0.61,402.39,120.31,135.26,15.62,0.46,2.43
2021,9,14,6.28,7.05,0.61,412.42,122.82,136.09,15.99,0.49,2.59
2021,9,15,5.65,7.2,0.55,416.39,110.2,138.45,14.75,0.46,2.43
2021,9,16,6.45,7.1,0.62,411.73,125.52,136.1,16.2,0.48,2.57
2021,9,17,4.13,7.07,0.4,428.45,81,136.18,11.2,0.34,1.79
2021,9,18,5.01,6.9,0.48,428.08,96.81,131.7,12.7,0.38,1.96
2021,9,19,5.66,7.01,0.55,420.48,110.8,134.82,14.55,0.45,2.4
2021,9,20,5.58,7.17,0.54,419.97,109.18,138.17,14.61,0.45,2.36
2021,9,21,5.73,7.04,0.55,422.89,111.44,134.77,14.61,0.45,2.38
2021,9,22,3.85,6.88,0.38,427.38,74.24,130.3,10.01,0.31,1.6
2021,9,23,4.96,6.77,0.48,428.43,95.18,127.98,12.39,0.38,1.97
2021,9,24,5.58,6.85,0.54,423.83,107.92,130.16,13.96,0.43,2.24
2021,9,25,5.64,7.08,0.55,422.86,109.27,135.01,14.45,0.45,2.34
2021,9,26,5.8,7.01,0.56,421.08,112.39,134.01,14.59,0.44,2.26
2021,9,27,5.76,7.09,0.55,426.12,112.69,136.67,14.86,0.45,2.34
2021,9,28,5.27,7.06,0.51,426.41,102.55,135.29,13.62,0.41,2.12
2021,9,29,5.95,6.96,0.57,426.88,115.27,133.14,14.96,0.46,2.43
2021,9,30,5.41,7.01,0.52,421.2,104.81,134.68,13.79,0.43,2.23
2021,10,1,5.12,6.97,0.49,424.82,99.22,133.88,13.24,0.41,2.16
2021,10,2,4.79,7,0.46,429.52,94.18,135.47,12.69,0.39,2.01
2021,10,3,6.35,7.11,0.61,429.01,124.15,137.5,16.15,0.48,2.49
2021,10,4,4.32,6.94,0.41,430.45,84.47,134.16,11.36,0.34,1.76
2021,10,5,4.3,6.93,0.41,435.21,82.98,131.93,11.2,0.35,1.83
2021,10,6,3.94,7.06,0.38,429.81,75.96,134.51,10.38,0.32,1.65
2021,10,7,2.05,6.95,0.2,434.15,41.22,132.9,5.81,0.18,0.95
2021,10,8,5.21,6.75,0.5,421.66,101.48,129.7,13.18,0.4,2.09
2021,10,9,5.85,6.98,0.56,422.2,114.47,134.44,14.88,0.45,2.37
2021,10,10,6.31,7.04,0.61,420.48,123.06,135.75,15.77,0.46,2.38
2021,10,11,6.4,7.23,0.62,422.12,124.74,139.7,16.27,0.49,2.58
2021,10,12,4.67,6.97,0.45,438.88,91.13,133.51,12.28,0.39,2.06
2021,10,13,6.79,7.22,0.66,424.58,133.61,140.2,17.33,0.52,2.77
2021,10,14,6.47,7.27,0.62,426.47,126.98,140.71,16.68,0.5,2.64
2021,10,15,5.81,7.22,0.56,428.39,113.41,138.74,15.05,0.46,2.4
2021,10,16,6.51,7.17,0.63,432.4,126.47,137.54,16.38,0.51,2.7
2021,10,17,4.69,6.87,0.45,434.34,90.36,130.56,11.95,0.37,1.93
2021,10,18,3.34,6.88,0.32,436.86,65.45,131.57,9,0.28,1.45
2021,10,19,5.65,6.99,0.55,434.16,109.84,134.16,14.37,0.44,2.27
2021,10,20,5.9,6.85,0.57,421.12,116.32,133.43,15.12,0.46,2.4
2021,10,21,3.63,6.87,0.35,416.59,71.63,133.25,9.91,0.3,1.51
2021,10,22,6.48,7.06,0.62,411.18,127.47,137.38,16.57,0.5,2.62
2021,10,23,3.66,7.21,0.35,415.91,72.41,140.95,10.27,0.33,1.69
2021,10,24,6.29,7.1,0.61,412.43,123.57,138.37,16.12,0.49,2.59
2021,10,25,1.79,7.03,0.17,415.77,37.02,137.45,5.47,0.17,0.87
2021,10,26,5.27,6.99,0.51,416.98,102.88,135.65,13.71,0.41,2.16
2021,10,27,4.26,6.84,0.41,423.79,83.99,132.45,11.34,0.34,1.77
2021,10,28,4.02,6.89,0.39,413.77,79.26,133.75,10.79,0.33,1.67
2021,10,29,5.41,6.85,0.52,415.84,106.28,132.83,13.98,0.42,2.2
2021,10,30,5.43,6.98,0.53,409.95,106.43,135.06,14.16,0.44,2.32
